feature id,feature label,shid,geoid,Life Expectancy at Birth (2010-2015),Fair or Poor General Health Among Adults (2023),Diagnosed Depression Among Adults (2023),Any Disability Among Adults (2023),Poor Physical Health Among Adults (2023),Regular Smoking Among Adults (2023),Obesity Among Adults (2023),No Leisure-Time Physical Activity Among Adults (2023),Poor Mental Health Among Adults (2023),Doctor Checkup in Past Year Among Adults (2023),Lack of Health Insurance Among Adults (2023),High Blood Pressure Among Adults (2023),High Cholesterol Among Adults (2023),Daytime Population (2022)
publicpolygonfeature:5:41095,ZIP Code 32202,country:us/state:fl/zip:32202,32202,73.0944,41.1,21.4,48.9,22.3,31.8,47.5,45.4,25.3,73,27.4,46.5,34.7,50727
publicpolygonfeature:5:41100,ZIP Code 32204,country:us/state:fl/zip:32204,32204,75.5328,23.4,20.8,35.1,15.4,15.3,35,29.4,19.1,76.2,14.7,37.6,34.7,20743
publicpolygonfeature:5:41113,ZIP Code 32205,country:us/state:fl/zip:32205,32205,74.2022,19.6,21.3,30.1,13.9,14.5,33.7,25.4,18.9,75.2,12.7,33.2,33.3,27447
publicpolygonfeature:5:41181,ZIP Code 32206,country:us/state:fl/zip:32206,32206,70.7455,35.3,19.9,43.2,20.1,24,46.3,40.9,22.4,78.9,18.9,48.1,35.9,24666
publicpolygonfeature:5:41191,ZIP Code 32207,country:us/state:fl/zip:32207,32207,76.0689,20.8,19.8,31.2,14.5,14.1,33.3,27.1,17.6,76,14.7,35.2,35.6,85313
publicpolygonfeature:5:41305,ZIP Code 32208,country:us/state:fl/zip:32208,32208,70.8223,33.9,18.7,43.3,19.5,21.5,45.7,40.7,21.3,81,17.4,50.6,37.2,21022
publicpolygonfeature:5:41320,ZIP Code 32209,country:us/state:fl/zip:32209,32209,68.6554,37.6,18.6,46.3,20.5,23.3,48,44,22.8,81,19.5,51.9,36.2,36261
publicpolygonfeature:5:42990,ZIP Code 32210,country:us/state:fl/zip:32210,32210,74.939,24.5,20.3,34.9,15.9,17.2,37.4,31.4,20,76.7,15.8,38.1,34.7,47859
publicpolygonfeature:5:42992,ZIP Code 32211,country:us/state:fl/zip:32211,32211,75.2916,26.1,20.6,36.2,16.7,18.2,38.6,32.9,20.6,75.7,18,38.1,34.5,23111
publicpolygonfeature:5:42993,ZIP Code 32212,country:us/state:fl/zip:32212,32212,77.2,15.9,22.6,28.9,10.1,11.8,28.6,22.5,24.1,65.3,16.3,17,18.5,9286
publicpolygonfeature:5:42997,ZIP Code 32216,country:us/state:fl/zip:32216,32216,77.231,20.2,19.8,30.8,13.9,13.7,33,27.1,18.2,75,14.9,33,33.4,64497
publicpolygonfeature:5:43001,ZIP Code 32217,country:us/state:fl/zip:32217,32217,77.8158,18.1,19.2,29.7,13.4,11.6,31.6,24.7,16.5,77.2,13,34.6,35.8,21970
publicpolygonfeature:5:43007,ZIP Code 32223,country:us/state:fl/zip:32223,32223,80.6864,16.5,20,28.2,13.3,11.6,30.2,22.4,16,77.9,10.1,35,37.8,21305
publicpolygonfeature:5:43011,ZIP Code 32254,country:us/state:fl/zip:32254,32254,70.6256,34.1,20.7,43,19.9,24.4,44.3,40.5,23,77.5,20.1,45.5,35.7,32701
publicpolygonfeature:5:43013,ZIP Code 32256,country:us/state:fl/zip:32256,32256,79.4843,14.5,19,25.3,11,9.5,28.6,20.8,16.3,75.4,10.5,29.2,32,111975
publicpolygonfeature:5:43015,ZIP Code 32257,country:us/state:fl/zip:32257,32257,78.4784,18.1,20.2,29.5,13.6,12.6,31.3,24.4,17.2,76.4,12.1,33.8,35.5,36303
publicpolygonfeature:5:43016,ZIP Code 32258,country:us/state:fl/zip:32258,32258,80.1813,14.9,19.8,25.1,11.7,10.8,29.5,21,16.6,75.4,10,29.8,33,36860
publicpolygonfeature:5:43019,ZIP Code 32266,country:us/state:fl/zip:32266,32266,82.95,12.3,20.2,22.9,10.9,9,27.6,16.9,14.9,76.6,7.1,29.8,34.9,8449
publicpolygonfeature:5:43041,ZIP Code 32277,country:us/state:fl/zip:32277,32277,76.836,22.7,20.5,33.7,14.9,15.2,36.2,29.4,20.3,76,15.1,35.5,33,20081
publicpolygonfeature:5:43262,ZIP Code 32218,country:us/state:fl/zip:32218,32218,74.6282,22.8,19.4,33,14.9,15.8,38,29.4,19.6,77.4,13.8,38.4,33.5,72776
publicpolygonfeature:5:43263,ZIP Code 32219,country:us/state:fl/zip:32219,32219,74.2827,23.5,18.8,33.9,15.3,16.3,38.4,30.4,19.2,78.3,13.4,40.9,34.7,16507
publicpolygonfeature:5:43264,ZIP Code 32220,country:us/state:fl/zip:32220,32220,73.1829,23.1,22.1,34.9,16.6,17.9,35.2,29.4,19.8,75.7,13.8,37.7,36.9,12452
publicpolygonfeature:5:43265,ZIP Code 32221,country:us/state:fl/zip:32221,32221,77.5441,20.3,19.6,31,14.4,14.5,34.3,27.1,18.4,76.9,12.7,36.2,34.9,23014
publicpolygonfeature:5:43266,ZIP Code 32222,country:us/state:fl/zip:32222,32222,78.2837,21.5,20,31.7,14.6,15.3,36.2,28.3,19.3,76.2,13.9,35.8,33.7,7066
publicpolygonfeature:5:43267,ZIP Code 32224,country:us/state:fl/zip:32224,32224,80.8585,15,20.9,26.7,11.6,10.1,28.5,20.6,17.8,74.8,10.5,28.4,32,57608
publicpolygonfeature:5:43268,ZIP Code 32225,country:us/state:fl/zip:32225,32225,79.0993,16.2,19.6,26.8,12.3,11.5,30.7,22.4,16.8,76.1,10.7,32,34.2,47699
publicpolygonfeature:5:43269,ZIP Code 32226,country:us/state:fl/zip:32226,32226,76.391,16.7,19.9,27.2,12.9,12.5,31.9,22.6,17.1,76.4,10.4,33,34.4,18788
publicpolygonfeature:5:43270,ZIP Code 32227,country:us/state:fl/zip:32227,32227,72.7,14.3,20.2,26.7,9.3,10.9,27.7,20.2,22.2,64,16.7,16.8,18.3,7374
publicpolygonfeature:5:43271,ZIP Code 32228,country:us/state:fl/zip:32228,32228,72.7,13.7,20.5,27.3,8.7,9.6,25.8,18.5,23.4,62.8,15.5,14.4,14.9,1141
publicpolygonfeature:5:43272,ZIP Code 32233,country:us/state:fl/zip:32233,32233,77.0403,17.8,20.4,29.7,13.4,12.8,31.1,23.8,17.4,76,11.9,33.6,35.4,18721
publicpolygonfeature:5:43273,ZIP Code 32234,country:us/state:fl/zip:32234,32234,74.7477,21.4,21.4,33.9,15.8,16.7,34.9,28.1,19.3,76.6,12.6,37.8,37.9,5282
publicpolygonfeature:5:43274,ZIP Code 32244,country:us/state:fl/zip:32244,32244,75.597,22.6,19.9,32.8,15,15.7,36.4,29.7,19.5,76.2,15.2,36.2,33.9,37540
publicpolygonfeature:5:43275,ZIP Code 32246,country:us/state:fl/zip:32246,32246,77.1512,18.2,19.9,28.1,12.9,12.8,31.4,24.8,17.9,74.3,13.1,30.6,32.6,64821
publicpolygonfeature:5:43276,ZIP Code 32250,country:us/state:fl/zip:32250,32250,78.9891,14.2,20.2,25,11.7,10,28.9,19.3,15.5,76.2,9.3,31.1,35.1,33115
publicpolygonfeature:5:6684281,ZIP Code 32214,country:us/state:fl/zip:32214,32214,,,,,,,,,,,,,,358
publicpolygonfeature:5:6703033,ZIP Code 32203,country:us/state:fl/zip:32203,32203,76.2,,,,,,,,,,,,,612
publicpolygonfeature:3:742,"Duval County, FL",country:us/state:fl/county:duval,12031,76.4073,20.4,19.6,31,14,13.9,34.3,27.1,18.2,76.4,13.6,35.4,34.1,1125589
