"feature id","feature label","shid","geoid","Total Population (2020-2024)","Income Less than $25,000 (2020-2024)","Income $25,000 to $49,999 (2020-2024)","Income $50,000 to $74,999 (2020-2024)","Income $75,000 to $99,999 (2020-2024)","Income $100,000 to $124,999 (2020-2024)","Income $125,000 to $149,999 (2020-2024)","Income $150,000 to $199,999 (2020-2024)","Income $200,000 or More (2020-2024)","Black (Not Hispanic or Latino) (2020-2024)","Asian (Not Hispanic or Latino) (2020-2024)","Native Hawaiian and Other Pacific Islander (Not Hispanic or Latino) (2020-2024)","White (Not Hispanic or Latino) (2020-2024)","Hispanic or Latino (2020-2024)","American Indian (Not Hispanic or Latino) (2020-2024)","Single Race Other (Not Hispanic or Latino) (2020-2024)","Two or More Races Other (Not Hispanic or Latino) (2020-2024)","Education Less than 9th Grade (2020-2024)","Education 9th to 12th Grade, No Diploma (2020-2024)","Education High School Degree (2020-2024)","Education Some College No Degree (2020-2024)","Education Associate Degree (2020-2024)","Education Bachelor's Degree (2020-2024)","Education Graduate Degree (2020-2024)"
"publicpolygonfeature:5:41095","ZIP Code 32202","country:us/state:fl/zip:32202","32202","6023","987","507","155","159","94","45","151","137","3055","10","0","2195","510","0","27","226","219","880","1597","1338","239","672","261"
"publicpolygonfeature:5:41100","ZIP Code 32204","country:us/state:fl/zip:32204","32204","9151","1424","759","851","659","535","178","365","348","2777","431","0","4694","611","9","176","453","144","821","1682","1226","515","2114","1120"
"publicpolygonfeature:5:41113","ZIP Code 32205","country:us/state:fl/zip:32205","32205","29148","2320","3284","2563","1776","1160","904","1289","1110","6563","894","0","17312","2668","15","192","1504","373","1519","5710","3769","2413","4928","3469"
"publicpolygonfeature:5:41181","ZIP Code 32206","country:us/state:fl/zip:32206","32206","17105","2610","1690","1059","787","291","163","370","312","11216","227","0","3774","909","55","70","854","427","1676","3628","2233","917","1712","876"
"publicpolygonfeature:5:41191","ZIP Code 32207","country:us/state:fl/zip:32207","32207","36998","3353","3363","2513","1800","1514","1157","1515","1576","6521","2910","0","20430","5042","56","315","1724","1417","1667","6005","5144","2098","6483","4025"
"publicpolygonfeature:5:41305","ZIP Code 32208","country:us/state:fl/zip:32208","32208","32699","3964","3738","2078","1186","1005","533","515","309","24554","173","38","5666","1150","25","216","877","866","2374","7930","5229","2023","2299","1102"
"publicpolygonfeature:5:41320","ZIP Code 32209","country:us/state:fl/zip:32209","32209","34657","6132","4106","1929","1246","477","265","142","168","30572","85","0","2013","1446","30","23","488","998","2950","8483","5449","1941","1994","838"
"publicpolygonfeature:5:42990","ZIP Code 32210","country:us/state:fl/zip:32210","32210","65729","5207","5676","5316","3587","2053","1421","1563","1952","24994","1676","70","27233","7471","12","877","3396","1210","3493","15419","9638","4254","6902","3208"
"publicpolygonfeature:5:42992","ZIP Code 32211","country:us/state:fl/zip:32211","32211","36762","2780","3507","2751","1844","1064","889","665","563","11682","1674","0","13817","6519","15","105","2950","1227","1942","7555","5648","2411","3755","1424"
"publicpolygonfeature:5:42993","ZIP Code 32212","country:us/state:fl/zip:32212","32212","1939","34","45","63","13","8","0","28","0","238","111","0","1146","353","10","0","81","0","0","120","172","88","30","63"
"publicpolygonfeature:5:42997","ZIP Code 32216","country:us/state:fl/zip:32216","32216","42298","4278","3689","2851","2514","2278","948","1098","1047","9505","3144","0","20078","7577","4","108","1882","890","1343","8793","6164","2414","6685","3141"
"publicpolygonfeature:5:43001","ZIP Code 32217","country:us/state:fl/zip:32217","32217","20221","1465","1328","1595","902","992","607","618","1127","2702","866","0","11919","3541","22","138","1033","412","476","3489","2797","1385","4076","1946"
"publicpolygonfeature:5:43007","ZIP Code 32223","country:us/state:fl/zip:32223","32223","26160","1045","1457","1615","1289","1247","865","1210","1750","1406","768","7","19405","2942","0","224","1408","334","547","4052","3991","1782","5614","3160"
"publicpolygonfeature:5:43011","ZIP Code 32254","country:us/state:fl/zip:32254","32254","13927","1707","2033","662","477","191","246","56","49","8507","97","0","3393","1031","0","10","889","423","1574","3771","1543","663","714","339"
"publicpolygonfeature:5:43013","ZIP Code 32256","country:us/state:fl/zip:32256","32256","58192","3006","4712","6519","3827","2926","1972","2236","2688","9161","7428","167","30728","6734","69","459","3446","897","1049","7596","6666","4042","14920","7688"
"publicpolygonfeature:5:43015","ZIP Code 32257","country:us/state:fl/zip:32257","32257","42904","2366","3399","3057","2450","1693","1530","1326","2012","3975","2315","0","24272","8049","3","1127","3163","1293","865","8113","5564","3726","7914","3385"
"publicpolygonfeature:5:43016","ZIP Code 32258","country:us/state:fl/zip:32258","32258","40408","1244","1551","2972","1791","2040","2036","1923","2340","5206","2889","50","25260","3788","7","977","2231","233","651","5102","4871","3473","9269","3425"
"publicpolygonfeature:5:43019","ZIP Code 32266","country:us/state:fl/zip:32266","32266","7168","101","430","475","411","472","384","274","682","0","16","0","6561","485","0","0","106","22","179","743","869","414","2284","1191"
"publicpolygonfeature:5:43041","ZIP Code 32277","country:us/state:fl/zip:32277","32277","36338","3076","2002","2416","1974","1230","641","813","978","12327","888","20","14898","6113","82","190","1820","920","1781","6860","5144","1951","4134","1700"
"publicpolygonfeature:5:43262","ZIP Code 32218","country:us/state:fl/zip:32218","32218","72905","3569","5057","5681","3339","2999","1990","2196","1555","34792","1735","26","24299","7011","36","1180","3826","1476","2935","16153","10721","4895","8740","3965"
"publicpolygonfeature:5:43263","ZIP Code 32219","country:us/state:fl/zip:32219","32219","14302","727","1099","1011","971","598","645","261","225","7491","10","24","5422","911","12","56","376","405","1046","3360","2368","653","1594","555"
"publicpolygonfeature:5:43264","ZIP Code 32220","country:us/state:fl/zip:32220","32220","12298","888","591","802","793","689","441","355","313","2323","644","0","7498","1561","6","65","201","201","576","3554","2101","898","1037","746"
"publicpolygonfeature:5:43265","ZIP Code 32221","country:us/state:fl/zip:32221","32221","32833","959","1844","2148","2016","1569","1104","1141","609","10523","1666","142","15637","3180","58","346","1281","865","1467","7713","4176","2416","3473","1891"
"publicpolygonfeature:5:43266","ZIP Code 32222","country:us/state:fl/zip:32222","32222","18258","408","1450","1282","794","1222","915","865","421","6826","818","0","6740","2526","64","142","1142","520","728","3397","3125","1635","2510","1131"
"publicpolygonfeature:5:43267","ZIP Code 32224","country:us/state:fl/zip:32224","32224","42092","1902","2163","3055","1880","1479","952","1749","3015","3989","3070","8","26950","5761","21","70","2223","373","415","4327","4344","1862","9629","5347"
"publicpolygonfeature:5:43268","ZIP Code 32225","country:us/state:fl/zip:32225","32225","55905","2127","3711","3359","3046","3463","1949","2002","2445","8334","4137","0","31954","7668","19","84","3709","676","1213","8587","7402","3966","11654","5888"
"publicpolygonfeature:5:43269","ZIP Code 32226","country:us/state:fl/zip:32226","32226","21256","797","713","745","1044","1085","962","1014","1084","4460","710","17","12947","2004","23","30","1065","435","569","4437","2755","1263","3186","1930"
"publicpolygonfeature:5:43270","ZIP Code 32227","country:us/state:fl/zip:32227","32227","3207","62","43","115","186","109","77","10","0","652","119","28","1416","519","4","53","416","0","28","392","484","100","181","65"
"publicpolygonfeature:5:43271","ZIP Code 32228","country:us/state:fl/zip:32228","32228","222","0","0","0","0","0","0","0","0","31","17","3","111","39","0","0","21","0","0","11","11","0","3","0"
"publicpolygonfeature:5:43272","ZIP Code 32233","country:us/state:fl/zip:32233","32233","24633","1060","1521","1880","1262","1038","698","1065","1679","1938","755","7","17634","2968","5","210","1116","564","543","4086","3211","1377","4891","2911"
"publicpolygonfeature:5:43273","ZIP Code 32234","country:us/state:fl/zip:32234","32234","9678","323","435","634","410","530","359","326","255","2197","64","0","6680","469","0","0","268","182","329","2768","952","566","1032","168"
"publicpolygonfeature:5:43274","ZIP Code 32244","country:us/state:fl/zip:32244","32244","63592","4158","5979","4638","3512","2817","1272","1718","966","20264","3321","2","26015","10138","71","434","3347","1056","2651","13979","9584","4981","8573","2452"
"publicpolygonfeature:5:43275","ZIP Code 32246","country:us/state:fl/zip:32246","32246","62562","2573","3932","4366","4840","2961","2434","2174","1681","8618","5732","0","32336","11773","52","86","3965","1414","1770","9805","7895","4492","11701","4927"
"publicpolygonfeature:5:43276","ZIP Code 32250","country:us/state:fl/zip:32250","32250","29072","1043","1594","1664","1114","1295","1074","1822","3359","855","409","18","23844","2336","34","261","1315","657","368","3911","3055","1928","6955","4958"
"publicpolygonfeature:5:6684281","ZIP Code 32214","country:us/state:fl/zip:32214","32214","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:6703033","ZIP Code 32203","country:us/state:fl/zip:32203","32203","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:3:742","Duval County, FL","country:us/state:fl/county:duval","12031","1023153","67612","77359","72890","54335","43222","29921","32659","37130","288306","50010","627","495145","126467","819","8251","53528","21203","40363","192586","140072","67990","162731","80017"